DATE,GDP
01/01/03,11174.129
01/04/03,11312.766
01/07/03,11566.669
01/10/03,11772.234
01/01/04,11923.447
01/04/04,12112.815
01/07/04,12305.307
01/10/04,12527.214
01/01/05,12767.286
01/04/05,12922.656
01/07/05,13142.642
01/10/05,13324.204
01/01/06,13599.16
01/04/06,13753.424
01/07/06,13870.188
01/10/06,14039.56
01/01/07,14215.651
01/04/07,14402.082
01/07/07,14564.117
01/10/07,14715.058
01/01/08,14706.538
01/04/08,14865.701
01/07/08,14898.999
01/10/08,14608.209
01/01/09,14430.902
01/04/09,14381.236
01/07/09,14448.882
01/10/09,14651.249
01/01/10,14764.61
01/04/10,14980.193
01/07/10,15141.607
01/10/10,15309.474
01/01/11,15351.448
01/04/11,15557.539
01/07/11,15647.68
01/10/11,15842.259
01/01/12,16068.805
01/04/12,16207.115
01/07/12,16319.541
01/10/12,16420.419
01/01/13,16648.189
01/04/13,16728.687
01/07/13,16953.838
01/10/13,17192.019
01/01/14,17197.738
01/04/14,17518.508
01/07/14,17804.228
01/10/14,17912.079
01/01/15,18063.529
01/04/15,18279.784
01/07/15,18401.626
01/10/15,18435.137
01/01/16,18525.933
01/04/16,18711.702
01/07/16,18892.639
01/10/16,19089.379
01/01/17,19280.084
01/04/17,19438.643
01/07/17,19692.595
01/10/17,20037.088
01/01/18,20328.553
01/04/18,20580.912
01/07/18,20798.73
01/10/18,20917.867
01/01/19,21104.133
01/04/19,21384.775
01/07/19,21694.282
01/10/19,21902.39
01/01/20,21706.513
01/04/20,19913.143
01/07/20,21647.64
01/10/20,22024.502
01/01/21,22600.185
01/04/21,23292.362
01/07/21,23828.973
01/10/21,24654.603
01/01/22,25029.116
01/04/22,25544.273
01/07/22,25994.639
01/10/22,26408.405